因子,G1月均收益,G5月均收益,多空差值,多空t值,IC Mean,IC Std,RankIC Mean,RankIC IR,IC>0占比,N
股息率 DY,0.016827400338705174,0.006780261685522487,0.010047138653182686,2.667608658420434,0.019021192418740233,0.11902772947217562,0.051572200418143324,0.3497291920787211,0.5585585585585585,111
DY(规模中性),0.017698458377400157,0.007315129189203476,0.010383329188196682,3.230979847372736,0.023176912280437285,0.09190745560035693,0.0503218193485425,0.4642635208530218,0.5855855855855856,111
红利稳定性,0.007759962238078253,0.0034193830906596597,0.004340579147418589,0.9010321039473873,0.022776298985366827,0.16132670383012254,0.03823921547567795,0.2402337281136317,0.5681818181818182,88
DPS增长,0.013651326417050528,0.014013986885171152,-0.0003626604681206237,-0.08953921155021789,-0.00894597431310298,0.09705995620917526,0.00920414564860735,0.07635186851454329,0.37373737373737376,99
DY同比变化,0.012875751562363662,0.014811095842719203,-0.001935344280355541,-0.40792212331265437,-0.008144691918923705,0.10941254149223059,0.014177356727550963,0.10141171038685132,0.48484848484848486,99
ln(市值),0.027818467873719534,0.01151982771351342,0.016298640160206115,2.373875792784744,0.024946853968109108,0.21466382873755424,0.03835680655041853,0.15868975011836628,0.5675675675675675,111
短期反转,0.018390771969846183,0.0037932885735893125,0.014597483396256874,2.4185475889896977,0.06226766570326939,0.1723930743968593,0.06846290351885483,0.3748743770520086,0.6272727272727273,110
平滑反转,0.014486327204705416,0.011011277315312519,0.003475049889392898,0.7105598601259211,0.014959862179297944,0.15274400915526598,0.021819497738954717,0.14479972457763401,0.5327102803738317,107
中期动量,0.01559190001061387,0.012802246209698455,0.0027896538009154143,0.5134673792993273,0.007420481523744733,0.17451157654704064,-0.001657792693269117,-0.00945611461864589,0.5047619047619047,105
长期反转,0.012259439586409663,0.0163542095448333,-0.00409476995842364,-0.6831075958433805,-0.009505380895786663,0.19730641028339171,-0.002557958564350955,-0.012764318697146422,0.494949494949495,99
低波动,0.01333615186827384,0.012879722773002653,0.0004564290952711838,0.0934578974064199,0.014573028841628543,0.16170668363393687,0.04178008107796669,0.26813514087583346,0.46464646464646464,99
